dirty_id,dirty_name,clean_id,clean_name,type,pattern
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:50616,Haggai Haggai,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:26264,Haggai,person,duplicated_word
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:50620,6:15.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:37184,6:15,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:50632,Hosea Hosea,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:26279,Hosea,person,duplicated_word
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:51067,14:10.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:48826,14:10,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:51105,21:13.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:44810,21:13,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:51117,20:28.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:33448,20:28,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:51150,26:25.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:56987,26:25,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:51249,22:21.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:45174,22:21,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:51269,2:15.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:42229,2:15,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:51633,14:11.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:64332,14:11,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:51756,11:21.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:658520,11:21,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:51793,Jonah Jonah,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:26463,Jonah,person,duplicated_word
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:51890,18:17.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:31618,18:17,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:51983,Ephraim’s,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:26051,Ephraim,person,possessive
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:52069,21:38.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:72798,21:38,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:52090,1:38.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:35011,1:38,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:52091,10:17.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:446905,10:17,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:52112,3:28.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:471890,3:28,period,trailing_punct
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:52519,22:30.,4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:32525,22:30,period,trailing_punct
