name,cat,reason,degree,fam,cooc,mentions
Rígete,1,clean,24,0,12,1
Paul P. Pieper,1,clean,142,0,34,57
Eddington,1,clean,87,0,30,2
Jody Malouf,1,clean,51,0,38,1
iv.14,4,single_lowercase,10,0,0,1
“¡Heil Hitler,5,starts_nonword,24,0,10,1
Elder Tai,1,clean,120,0,53,6
O. Cone,1,clean,13,0,0,1
Chilmad,1,clean,342,0,141,58
Prince Humpry,1,clean,15,0,8,1
Ava Lucille Holbrook,1,clean,82,0,45,1
Harken,1,clean,41,0,18,2
Luda Lee Cottrell,1,clean,46,0,18,2
¿Hacía,4,spanish_verb,36,0,13,1
Joshua 22:10,1,clean,52,0,11,18
John Harington,1,clean,59,0,13,4
Lorenzo Sawyer,1,clean,111,0,58,1
Permítanle,1,clean,142,0,58,31
Laurel Rolfing,1,clean,2,0,0,1
Mispereth,1,clean,502,0,227,79
"id=""p45"">No",5,html_fragment,33,0,17,3
X. v. 2,1,clean,72,0,27,16
Him Peter,1,clean,44,0,13,2
Brasil Helaman,1,clean,24,0,15,1
Jeffersonian Democracy,1,clean,41,0,16,1
Jack R.,1,clean,58,0,24,6
Controller,1,clean,74,0,20,32
John 19:2–3,3,scripture_ref,140,0,46,26
Robert J. “Abinadi:,2,trailing_punct,97,0,53,3
g. 2,1,clean,62,0,14,23
Rebecca Perez Cebu,1,clean,51,0,19,5
Gustavo Corleto,1,clean,21,0,8,1
ÏÏÏá¿Î½Î¿Ï,5,mojibake,30,0,9,8
“Egyptian Papyri Rediscovered,5,starts_nonword,112,0,61,2
Roothoff,1,clean,229,0,94,5
"video/2016-05-6000-divinely-appointed-sources"">Fuentes",5,unbalanced_quotes,20,0,7,4
amonestación D. Todd Christofferson,1,clean,35,0,2,33
Yates,1,clean,267,0,127,11
Jared L. Dunn,1,clean,117,0,63,2
Martha Ann Half,1,clean,113,0,82,1
Marian Richards Boyer,1,clean,335,0,238,10
Innocent IX,1,clean,92,0,77,1
John Foxe’s Wikipedia,1,clean,29,0,15,1
Travis L. Steward,1,clean,86,0,51,1
Emma Smith’s OT1,1,clean,17,0,10,3
MRB:459,1,clean,96,0,34,20
Douglas L. Dance,1,clean,187,0,150,4
Zibia ZIBIA,2,duplicated_word,65,0,33,19
Leticia,1,clean,109,0,47,4
John 10,3,scripture_ref,751,0,274,102
Mosiah 12:1,3,scripture_ref,381,0,98,143
Zeus Cretagenes,1,clean,7,0,0,1
Rabbinic Judaism,1,clean,273,0,99,46
Sister Šnederfler,1,clean,40,0,19,3
Yusuf Ali,1,clean,119,0,48,6
"Jordan T. Watkins, Christopher James Blythe",1,clean,2,0,0,1
2]See Vern Swanson,1,clean,43,0,20,2
Justicia,1,clean,257,0,91,89
Jeremiah 51:31,1,clean,46,0,18,7
E. Frankl,1,clean,84,0,36,2
C. A. Conscience,1,clean,140,0,62,6
Ï Ïá¿Ï Î³á¿Ï,1,clean,30,0,5,2
R. Eckardt,1,clean,92,0,46,1
Elaine B.,1,clean,41,0,18,1
LUCIAN R. FOSTER,1,clean,55,0,31,1
USA Tell,1,clean,20,0,7,1
Absalom Peters,1,clean,58,0,15,1
J. T. V.,1,clean,128,0,59,3
MRB:335,1,clean,82,0,22,27
Ze,1,clean,69,0,21,20
Helaman 8:13–15,3,scripture_ref,16,0,5,6
William Stillson,1,clean,69,0,48,1
Speak,1,clean,127,0,67,3
DeArmon Pea Rich,1,clean,66,0,27,1
Groombridge Place,1,clean,62,0,20,2
J. Christensen,1,clean,97,0,42,3
kal-de'-anz,4,single_lowercase,9,0,0,1
Fornay,1,clean,37,0,15,1
Young Presents,1,clean,27,0,12,1
Lehi Ward Relief,1,clean,328,0,133,9
Masrekah Vineyard,1,clean,80,0,41,10
Ac 28:13,1,clean,47,0,11,1
Jacob 4:14–16,3,scripture_ref,59,0,24,8
Khabour,1,clean,150,0,65,21
Alexander Campbell(Buffalo,1,clean,106,0,45,8
Important Events,1,clean,65,0,18,2
Aconséjeles,1,clean,13,0,7,1
Slaves,1,clean,20,0,8,2
Gaston Deluz,1,clean,45,0,16,2
Walter Zimmerli’s,2,possessive,25,0,5,6
Olamus OLAMUS,2,duplicated_word,44,0,6,12
Lu 9:55,1,clean,52,0,12,2
"J. C.,Basinger",1,clean,52,0,32,1
Kovářová,1,clean,48,0,23,3
Domon,1,clean,73,0,65,1
Lance B.,1,clean,35,0,10,2
John 7:33,3,scripture_ref,286,0,94,79
Charles and Carol Kewish,1,clean,4,0,0,2
Alma 43:1–2,3,scripture_ref,37,0,14,6
de Bapt,1,clean,65,0,24,21
konfer-ma'-shun,4,single_lowercase,11,0,0,1
Arnan ARNAN,2,duplicated_word,85,0,41,24
Mary Ann Hales,1,clean,130,0,65,3
Andy Reid,1,clean,72,0,28,2
Burnette,1,clean,36,0,13,3
‘Hans,5,starts_nonword,16,0,10,2
Elders H. C. Kimball,1,clean,307,0,130,5
Benj Sweatâs,1,clean,59,0,23,2
Ariena S. Vandenberg,1,clean,34,0,24,1
sacudía,4,single_lowercase,24,0,16,2
Karaj Dagh,1,clean,94,0,40,0
Richard G. Scott Know,1,clean,44,0,27,5
George Pitkin,1,clean,238,0,118,6
"G. Romney,Learning",1,clean,72,0,28,1
Neiel of Joshua 19:27,1,clean,57,0,19,12
Malachi k. He,1,clean,42,0,34,1
Henry D. Moyle,1,clean,1531,0,488,72
Alma 44:10,3,scripture_ref,22,0,5,3
Gentilis,1,clean,47,0,14,2
William Empey Company,1,clean,137,0,39,2
Apéguese,1,clean,14,0,4,2
ja'-feth,4,single_lowercase,6,0,0,1
Alberto Bocca,1,clean,256,0,170,2
