from_name,from_type,relation,to_name,to_type
Jael,person,SPOUSE_OF,Kenite,person
Aaron,person,SPOUSE_OF,Nashon,people
Ishtar,person,SPOUSE_OF,Dumuzu,people
Shamash,person,SPOUSE_OF,Malkatu,person
Judith,person,SPOUSE_OF,Dothaim Manasses,person
Chuzas,person,SPOUSE_OF,Joanna,person
Hadad,person,SPOUSE_OF,Matred,person
Nahor,person,SPOUSE_OF,Haran,person
Abraham,person,SPOUSE_OF,Keturah,person
George,person,SPOUSE_OF,Smith,person
Brian Hales,person,SPOUSE_OF,Laura Hales,person
Hyrum Smith,person,SPOUSE_OF,Mary Fielding,person
Stephen,person,SPOUSE_OF,Diane Timmerman,person
Avram,people,SPOUSE_OF,Sarai,person
El,person,SPOUSE_OF,Elah,person
Oliver Cowdery,person,SPOUSE_OF,Elizabeth,person
Mary,person,SPOUSE_OF,Zacharias,person
Enoch,person,SPOUSE_OF,Dinah,person
Caesar Augustus,person,FATHER_OF,Julia,person
Alphaeus,person,FATHER_OF,Levi,person
Kohath,person,FATHER_OF,Levite,person
Alma,person,FATHER_OF,Mormón,person
Jetro,person,FATHER_OF,Séfora,person
Noé,person,FATHER_OF,Cam,person
Cam,person,FATHER_OF,Egyptus,person
Lehi,person,FATHER_OF,Nefi,person
Helamán,person,FATHER_OF,Mormón,person
David,person,FATHER_OF,Salomón,person
Jeberechiah,person,FATHER_OF,Zechariah,person
Remaliah,person,FATHER_OF,Pekah,person
Righteousness,person,FATHER_OF,But,person
Abinadom,person,FATHER_OF,Amaleki,person
Noah,person,FATHER_OF,Wherefore,person
Noah,person,FATHER_OF,Cohor,person
Kimnor,person,FATHER_OF,Akish,person
Alma,person,FATHER_OF,Helaman,person
Cis,person,FATHER_OF,Saul,person
Bosor,person,FATHER_OF,Balaam,person
Joseph,person,FATHER_OF,Jesus,person
Simon,person,FATHER_OF,Judas Iscariot,person
Jonas,person,FATHER_OF,Simon,person
Jona,person,FATHER_OF,Simon,person
Joseph,person,FATHER_OF,Nazareth,place
David,person,FATHER_OF,Jesus Christ,person
Jacob,person,FATHER_OF,Judas,person
Judas,person,FATHER_OF,Phares,person
Phares,person,FATHER_OF,Esrom,person
Esrom,person,FATHER_OF,Aram,person
Aram,person,FATHER_OF,Aminadab,person
Aminadab,person,FATHER_OF,Naasson,person
Naasson,person,FATHER_OF,Salmon,person
Salmon,person,FATHER_OF,Booz,person
Booz,person,FATHER_OF,Obed,person
Solomon,person,FATHER_OF,Roboam,person
Roboam,person,FATHER_OF,Abia,person
Abia,person,FATHER_OF,Asa,person
Asa,person,FATHER_OF,JOSAPHAT,people
JOSAPHAT,people,FATHER_OF,Joram,person
Joram,person,FATHER_OF,Ozias,person
Ozias,person,FATHER_OF,Joatham,person
Joatham,person,FATHER_OF,Achaz,person
Manasses,person,FATHER_OF,Amon,person
Amon,person,FATHER_OF,Josias,person
Josias,person,FATHER_OF,Jechonias,person
Jechonias,person,FATHER_OF,Salathiel,person
Salathiel,person,FATHER_OF,Zorobabel,person
Zorobabel,person,FATHER_OF,Abiud,person
Abiud,person,FATHER_OF,Eliakim,person
Eliakim,person,FATHER_OF,Azor,person
Azor,person,FATHER_OF,Sadoc,person
Sadoc,person,FATHER_OF,Achim,person
Matthan,person,FATHER_OF,Jacob,person
Koz,person,FATHER_OF,Urijah,person
Meshezabeel,person,FATHER_OF,Berechiah,person
Imri,person,FATHER_OF,Zaccur,person
Urijah,person,FATHER_OF,Meremoth,person
Berechiah,person,FATHER_OF,Meshullam,person
Baana,person,FATHER_OF,Zadok,person
Paseah,person,FATHER_OF,Jehoiada,person
