neo4j_id,name,type,reason
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1823,Mark 2:3,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1824,Luke 5:18,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1833,Mark 4:13,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1837,Luke 16:19–31,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1847,John 13:8,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1859,Luke 10:31,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1860,Luke 16:17.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1866,Alma 50:30,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1868,Luke 23:54,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1871,Luke 22:1,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1872,Mark 14:12,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1874,John 1:36,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1875,John 6:4,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1876,John 18:39,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1887,Mark 1:3,concept,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1891,Luke 21:19,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1893,Mosiah 3:19,period,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1924,Alma 13:18,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1927,Alma 51:1,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1946,Alma 27:30,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1947,Alma 31:18,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1951,Alma 40:1,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1952,Alma 43:48,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1962,Luke 6:40,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1963,Luke 8:14.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1965,James 1:4,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1966,Alma 32:26,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1967,Alma 50:37,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1976,Alma 30:23,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1995,Joel 1:18,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:1998,Alma 14:9,people,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2016,Alma 31:11,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2022,Mosiah 4:16,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2035,Luke 5:31,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2036,Mark 5:26,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2041,Luke 14:18.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2065,John 8:37,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2078,Mark 3:10,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2084,John 10:24,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2087,Alma 12:33,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2091,Jacob 5:21,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2092,Alma 32:36,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2096,Jacob 1:1–2,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2097,D&C 10:41,people,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2098,Jacob 4:2.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2109,Alma 55:13,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2128,Mark 5:4,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2133,John 4:47.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2138,Ps. 140:3,people,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:2143,Alma 26:17,person,scripture_ref
