src_id,src_name,rel_type,dst_id,dst_name,src_type
40309,Irad,FATHER_OF,40310,Mehujael,person
40310,Mehujael,FATHER_OF,40311,Methusael,person
40311,Methusael,FATHER_OF,30365,Lamech,person
38121,Baladan,FATHER_OF,38120,Berodach-baladan,person
24118,Ahaz,FATHER_OF,18906,Hezekiah,person
37936,Shaphan,FATHER_OF,37939,Ahikam,person
37939,Ahikam,FATHER_OF,36702,Gedaliah,person
36700,Nethaniah,FATHER_OF,18917,Ishmael,person
38165,Tanhumeth,FATHER_OF,36904,Seraiah,person
3301,Ahab,FATHER_OF,35433,Jehoram,person
37299,Nebat,FATHER_OF,19086,Jeroboam,person
36799,Shaphat,FATHER_OF,18677,Elisha,person
38047,Remaliah Ahaz,FATHER_OF,24121,Pekah,people
36842,Ahaziah,FATHER_OF,36330,Joash,person
36216,Elah,FATHER_OF,18911,Hoshea,person
36330,Joash,FATHER_OF,36843,Amaziah,person
37831,Jehoahaz,FATHER_OF,38002,Jehoash,person
38002,Jehoash,FATHER_OF,19106,Judah,person
36842,Ahaziah,FATHER_OF,38002,Jehoash,person
36330,Joash,FATHER_OF,38020,Judah Jeroboam,person
3301,Ahab,FATHER_OF,35434,Joram,person
19082,Jehoshaphat,FATHER_OF,35433,Jehoram,person
35433,Jehoram,FATHER_OF,36842,Ahaziah,person
36785,Omri,FATHER_OF,37226,Athaliah,person
36335,Jehu,FATHER_OF,38009,Judah Jehoahaz,person
37398,Hazael,FATHER_OF,37353,Ben-hadad,person
38130,Haruz,FATHER_OF,38129,Meshullemeth,person
19082,Jehoshaphat,FATHER_OF,36335,Jehu,person
36273,Ahijah,FATHER_OF,37344,Baasha,person
37399,Nimshi,FATHER_OF,36335,Jehu,person
19105,Josiah,FATHER_OF,37831,Jehoahaz,person
19084,Jeremiah,FATHER_OF,38148,Hamutal,person
36788,Pedaiah,FATHER_OF,38151,Zebudah,person
36849,Meshullam,FATHER_OF,37937,Azaliah,person
37937,Azaliah,FATHER_OF,37936,Shaphan,person
37051,Adaiah,FATHER_OF,38136,Jedidah,person
37787,Michaiah,FATHER_OF,36202,Achbor,person
38154,Elnathan,FATHER_OF,38153,Nehushta,person
38033,Gadi,FATHER_OF,38032,Menahem,person
38032,Menahem,FATHER_OF,38038,Judah Pekahiah,person
35449,Zadok,FATHER_OF,38042,Jerusha,person
35070,Pharez,FATHER_OF,36498,Hezron,person
36498,Hezron,FATHER_OF,35069,Ram,person
35067,Nahshon,FATHER_OF,35066,Salmon,person
35066,Salmon,FATHER_OF,3565,Boaz,person
18663,David,FATHER_OF,38890,Preacher,person
37187,Gera,FATHER_OF,37105,Ehud,person
41596,Anath,FATHER_OF,41788,Shamgar,person
3519,Gilead,FATHER_OF,34169,Jephthah,person
36239,Dodo,FATHER_OF,37092,Puah,person
37092,Puah,FATHER_OF,16694,Israel Tola,person
41728,Hillel,FATHER_OF,37070,Abdon,person
36330,Joash,FATHER_OF,18876,Gideon,person
39743,Ebed,FATHER_OF,41837,Gaal,person
41793,Abinoam,FATHER_OF,34168,Barak,person
36310,Jehiel,FATHER_OF,36858,Shechaniah,person
37940,Tikvah,FATHER_OF,39567,Jahaziah,person
36792,Iddo,FATHER_OF,19872,Zechariah,person
36904,Seraiah,FATHER_OF,18690,Ezra,person
36477,Zerahiah,FATHER_OF,39742,Elihoenai,person
19095,Jonathan,FATHER_OF,39743,Ebed,person
37226,Athaliah,FATHER_OF,36688,Jeshaiah,person
19317,Michael,FATHER_OF,36351,Zebadiah,person
36310,Jehiel,FATHER_OF,19421,Obadiah,person
39579,Bebai,FATHER_OF,19872,Zechariah,person
39747,Hakkatan,FATHER_OF,36338,Johanan,person
19213,Levi,FATHER_OF,36648,Mahli,person
37023,Phinehas,FATHER_OF,35452,Eleazar,person
36672,Jeshua,FATHER_OF,36368,Jozabad,person
39585,Binnui,FATHER_OF,39757,Noadiah,person
38984,Hammedatha,FATHER_OF,38983,Haman,person
36524,Jair,FATHER_OF,38968,Mordecai,person
28096,Kish,FATHER_OF,36627,Shimei,person
36539,Abihail,FATHER_OF,18684,Esther,person
32007,Bishop Edward Partridge,FATHER_OF,181594,Emily Partridge,person
516735,John CORRILL,FATHER_OF,605342,Nancy Corrill,person
38121,Baladan,FATHER_OF,40802,Merodach-baladan,person
42654,Jakeh,FATHER_OF,42653,Agur,person
36709,Hanani,FATHER_OF,36335,Jehu,person
37344,Baasha,FATHER_OF,36216,Elah,person
37367,Ginath,FATHER_OF,37366,Tibni,person
36785,Omri,FATHER_OF,3301,Ahab,person
37313,Eliadah,FATHER_OF,37312,Rezon,person
19746,Solomon,FATHER_OF,19540,Rehoboam,person
36182,Jether,FATHER_OF,30774,Amasa,person
19086,Jeroboam,FATHER_OF,36671,Abijah,person
37106,Chenaanah,FATHER_OF,19875,Zedekiah,person
3504,Asa,FATHER_OF,19082,Jehoshaphat,person
3301,Ahab,FATHER_OF,36842,Ahaziah,person
37354,Tabrimon,FATHER_OF,37353,Ben-hadad,person
19086,Jeroboam,FATHER_OF,36537,Nadab,person
35449,Zadok,FATHER_OF,36557,Azariah,person
19330,Nathan,FATHER_OF,36557,Azariah,person
19330,Nathan,FATHER_OF,37461,Zabud,person
37463,Abda,FATHER_OF,36113,Adoniram,person
36475,Ahilud,FATHER_OF,37475,Baana,person
36792,Iddo,FATHER_OF,37478,Ahinadab,person
36806,Hushai,FATHER_OF,36261,Baanah,person
37480,Paruah,FATHER_OF,19082,Jehoshaphat,person
36216,Elah,FATHER_OF,36627,Shimei,person
36522,Uri,FATHER_OF,23604,Geber,person
38600,Ahasuerus,FATHER_OF,18662,Darius,person
36246,Benaiah,FATHER_OF,19872,Zechariah,person
19872,Zechariah,FATHER_OF,36337,Jahaziel,person
37828,Dodavah,FATHER_OF,35058,Eliezer,person
37438,Imla,FATHER_OF,37433,Micaiah,person
